Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
24098-17333,SG,Will,Will Barton,Barton,30.32727236,66,6500,DEN@LAL,DEN,LAL,,
24098-49116,SG,Andrew,Andrew Wiggins,Wiggins,28.93088307,68,6500,MIN@WAS,MIN,WAS,,
24098-24544,SG,Gary,Gary Harris,Harris,30.02698335,63,6500,DEN@LAL,DEN,LAL,,
24098-15846,SG,Tim,Tim Hardaway Jr.,Hardaway Jr.,28.66222331,45,6500,DAL@NY,NY,DAL,,
24098-66108,PG,Jamal,Jamal Murray,Murray,26.88507536,67,6400,DEN@LAL,DEN,LAL,,
24098-15592,PG,Austin,Austin Rivers,Rivers,26.21555447,45,6400,LAC@CHI,LAC,CHI,,
24098-40201,PG,Dennis,Dennis Schroder,Schroder,33.02903305,62,6400,OKC@ATL,ATL,OKC,GTD,Elbow
24098-59318,SF,Joe,Joe Ingles,Ingles,24.57462687,67,6400,DET@UTA,UTA,DET,,
24098-15542,PG,Spencer,Spencer Dinwiddie,Dinwiddie,29.39545418,66,6300,TOR@BKN,BKN,TOR,,
24098-23572,SF,Taurean,Taurean Prince,Prince,24.24411729,68,6100,OKC@ATL,ATL,OKC,,
24098-23096,SG,Evan,Evan Fournier,Fournier,27.5315798,57,6100,ORL@SA,ORL,SA,O,Knee
24098-9787,SF,DeMarre,DeMarre Carroll,Carroll,26.87580724,62,6100,TOR@BKN,BKN,TOR,,
24098-80812,PF,Lauri,Lauri Markkanen,Markkanen,27.97213195,61,6100,LAC@CHI,CHI,LAC,,
24098-20491,SF,Robert,Robert Covington,Covington,27.33333333,63,6000,IND@PHI,PHI,IND,,
24098-14522,PF,Nikola,Nikola Mirotic,Mirotic,29.85249939,40,6000,CHA@NO,NO,CHA,,
24098-66236,PF,John,John Collins,Collins,24.10161369,62,6000,OKC@ATL,ATL,OKC,,
24098-18821,SF,Jonathon,Jonathon Simmons,Simmons,22.87121212,66,6000,ORL@SA,ORL,SA,,
24098-16301,C,Dewayne,Dewayne Dedmon,Dedmon,23.66041565,48,6000,OKC@ATL,ATL,OKC,,
24098-9455,PG,Rajon,Rajon Rondo,Rondo,25.0134606,52,5900,CHA@NO,NO,CHA,,
24098-16196,PF,Dwight,Dwight Powell,Powell,19.67121286,66,5900,DAL@NY,DAL,NY,,
24098-23097,PG,Tomas,Tomas Satoransky,Satoransky,16.96896573,58,5800,MIN@WAS,WAS,MIN,,
24098-12351,PF,Derrick,Derrick Favors,Favors,26.80952381,63,5800,DET@UTA,UTA,DET,,
24098-12368,SF,Nemanja,Nemanja Bjelica,Bjelica,14.66603751,53,5800,MIN@WAS,MIN,WAS,,
24098-9495,PG,J.J.,J.J. Barea,Barea,24.17257986,62,5700,DAL@NY,DAL,NY,,
24098-9508,PF,Carmelo,Carmelo Anthony,Anthony,28.12000075,65,5700,OKC@ATL,OKC,ATL,,
24098-23716,SF,Kyle,Kyle Anderson,Anderson,24.57966019,59,5600,ORL@SA,SA,ORL,,
24098-42148,PF,Rondae,Rondae Hollis-Jefferson,Hollis-Jefferson,28.18679291,53,5600,TOR@BKN,BKN,TOR,,
24098-14511,PF,Markieff,Markieff Morris,Morris,23.03275904,58,5600,MIN@WAS,WAS,MIN,,
24098-14530,SF,Bojan,Bojan Bogdanovic,Bogdanovic,21.93484775,66,5600,IND@PHI,IND,PHI,,
24098-9481,PF,Taj,Taj Gibson,Gibson,26.47205846,68,5600,MIN@WAS,MIN,WAS,,
24098-15904,SG,Rodney,Rodney Hood,Hood,22.67,50,5500,CLE@PHO,CLE,PHO,GTD,Back
24098-15947,SF,Reggie,Reggie Bullock,Bullock,17.91764682,51,5500,DET@UTA,DET,UTA,GTD,Undisclosed
24098-17384,C,Kyle,Kyle O'Quinn,O'Quinn,20.10307617,65,5500,DAL@NY,NY,DAL,,
24098-23776,PF,Montrezl,Montrezl Harrell,Harrell,19.02203473,59,5400,LAC@CHI,LAC,CHI,,
24098-58153,SF,Kelly,Kelly Oubre Jr.,Oubre Jr.,22.02272727,66,5400,MIN@WAS,WAS,MIN,,
24098-19781,SG,Kent,Kent Bazemore,Bazemore,26.97846116,65,5400,OKC@ATL,ATL,OKC,O,Knee
24098-24546,SF,Denzel,Denzel Valentine,Valentine,22.49848522,66,5400,LAC@CHI,CHI,LAC,,
24098-12511,PG,Ish,Ish Smith,Smith,22.15909091,66,5300,DET@UTA,DET,UTA,,
24098-23798,SG,Caris,Caris LeVert,LeVert,24.55613949,57,5300,TOR@BKN,BKN,TOR,,
24098-80809,SF,Josh,Josh Jackson,Jackson,20.88769156,65,5300,CLE@PHO,PHO,CLE,GTD,Knee
24098-15996,PG,Jerian,Jerian Grant,Grant,19.92333374,60,5200,LAC@CHI,CHI,LAC,,
24098-9957,PF,Serge,Serge Ibaka,Ibaka,24.94918073,61,5200,TOR@BKN,TOR,BKN,,
24098-9500,PF,Dirk,Dirk Nowitzki,Nowitzki,24.33787953,66,5200,DAL@NY,DAL,NY,,
24098-15800,PF,Jae,Jae Crowder,Crowder,17.17230694,65,5100,DET@UTA,UTA,DET,,
24098-9666,PF,Thaddeus,Thaddeus Young,Young,26.57313469,67,5100,IND@PHI,IND,PHI,,
24098-14529,PG,Cory,Cory Joseph,Joseph,19.12835784,67,5000,IND@PHI,IND,PHI,,
24098-9624,PG,Darren,Darren Collison,Collison,27.5481477,54,5000,IND@PHI,IND,PHI,,
24098-9636,SF,Wilson,Wilson Chandler,Chandler,21.06333415,60,5000,DEN@LAL,DEN,LAL,,
24098-63124,PG,Emmanuel,Emmanuel Mudiay,Mudiay,17.11320755,53,4900,DAL@NY,NY,DAL,,
24098-9587,SF,Michael,Michael Beasley,Beasley,22.18833415,60,4900,DAL@NY,NY,DAL,,
