"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"24943-15755","PF","Anthony","Anthony Davis","Davis","54.59605006167763","76","12500","NO@POR","NO","POR","","","",""
"24943-9646","SF","Kevin","Kevin Durant","Durant","46.97826086956522","69","10900","SA@GS","GS","SA","","","",""
"24943-9688","PF","LaMarcus","LaMarcus Aldridge","Aldridge","39.655263800370065","76","10200","SA@GS","SA","GS","","","",""
"24943-9524","PG","Stephen","Stephen Curry","Curry","43.42115196814904","52","10000","SA@GS","GS","SA","GTD","Knee","",""
"24943-66115","PF","Ben","Ben Simmons","Simmons","42.18292682926829","82","10000","MIA@PHI","PHI","MIA","","","",""
"24943-20848","PG","Damian","Damian Lillard","Lillard","43.37973104940878","74","9800","NO@POR","POR","NO","","","",""
"24943-49111","C","Joel","Joel Embiid","Embiid","43.646153846153844","65","9700","MIA@PHI","PHI","MIA","GTD","Eye","",""
"24943-12332","PG","John","John Wall","Wall","41.81707317073171","41","9400","WAS@TOR","WAS","TOR","","","",""
"24943-9663","SG","Jrue","Jrue Holiday","Holiday","37.666666666666664","81","8700","NO@POR","NO","POR","","","",""
"24943-55057","C","Jusuf","Jusuf Nurkic","Nurkic","32.127849337420884","79","8000","NO@POR","POR","NO","","","",""
"24943-20491","SF","Robert","Robert Covington","Covington","28.270001220703126","80","7900","MIA@PHI","PHI","MIA","","","",""
"24943-15595","SG","Bradley","Bradley Beal","Beal","36.78433852597892","83","7900","WAS@TOR","WAS","TOR","","","",""
"24943-14522","PF","Nikola","Nikola Mirotic","Mirotic","30.036363636363635","55","7700","NO@POR","NO","POR","","","",""
"24943-12363","C","Hassan","Hassan Whiteside","Whiteside","34.807406955295136","54","7000","MIA@PHI","MIA","PHI","","","",""
"24943-19067","SG","CJ","CJ McCollum","McCollum","33.44691297743056","81","7000","NO@POR","POR","NO","","","",""
"24943-9714","SG","DeMar","DeMar DeRozan","DeRozan","37.34197470582562","81","7000","WAS@TOR","TOR","WAS","","","",""
"24943-15860","PF","Draymond","Draymond Green","Green","35.971830985915496","71","7000","SA@GS","GS","SA","","","",""
"24943-9535","PG","Kyle","Kyle Lowry","Lowry","34.92658166040348","79","6800","WAS@TOR","TOR","WAS","","","",""
"24943-9598","PF","Ersan","Ersan Ilyasova","Ilyasova","22.608695652173914","69","6600","MIA@PHI","PHI","MIA","","","",""
"24943-14509","SG","Klay","Klay Thompson","Thompson","30.11756690772804","74","6500","SA@GS","GS","SA","","","",""
"24943-15582","PG","Quinn","Quinn Cook","Cook","16.69394013375947","33","6400","SA@GS","GS","SA","","","",""
"24943-67708","PG","Dejounte","Dejounte Murray","Murray","22.23827220775463","81","6300","SA@GS","SA","GS","","","",""
"24943-14503","C","Jonas","Jonas Valanciunas","Valanciunas","26.915584415584416","77","6200","WAS@TOR","TOR","WAS","","","",""
"24943-9673","PG","Goran","Goran Dragic","Dragic","29.857894094366777","76","6100","MIA@PHI","MIA","PHI","GTD","Knee","",""
"24943-9455","PG","Rajon","Rajon Rondo","Rondo","26.809230393629807","65","6100","NO@POR","NO","POR","","","",""
"24943-14513","SF","Kawhi","Kawhi Leonard","Leonard","32.54444376627604","9","6000","SA@GS","SA","GS","O","Quadriceps","",""
"24943-9655","SG","JJ","JJ Redick","Redick","24.95142822265625","70","6000","MIA@PHI","PHI","MIA","GTD","Back","",""
"24943-15628","SF","Otto","Otto Porter Jr.","Porter Jr.","30.59610262784091","77","5900","WAS@TOR","WAS","TOR","GTD","Calf","",""
"24943-9957","PF","Serge","Serge Ibaka","Ibaka","25.25789441560444","76","5900","WAS@TOR","TOR","WAS","","","",""
"24943-16233","SF","Josh","Josh Richardson","Richardson","26.919753086419753","81","5800","MIA@PHI","MIA","PHI","","","",""
"24943-55056","PF","Dario","Dario Saric","Saric","27.343039210838608","79","5700","MIA@PHI","PHI","MIA","","","",""
"24943-22541","PF","Kelly","Kelly Olynyk","Olynyk","24.24605198910362","76","5600","MIA@PHI","MIA","PHI","","","",""
"24943-9577","SF","Rudy","Rudy Gay","Gay","22.591227213541668","57","5500","SA@GS","SA","GS","","","",""
"24943-14511","PF","Markieff","Markieff Morris","Morris","23.28493217572774","73","5500","WAS@TOR","WAS","TOR","","","",""
"24943-9966","PF","James","James Johnson","Johnson","25.446575008026542","73","5400","MIA@PHI","MIA","PHI","","","",""
"24943-9715","SG","Marco","Marco Belinelli","Belinelli","18.9125","80","5400","MIA@PHI","PHI","MIA","","","",""
"24943-23716","SF","Kyle","Kyle Anderson","Anderson","24.24594528610642","74","5300","SA@GS","SA","GS","","","",""
"24943-18600","PG","Tyler","Tyler Johnson","Johnson","22.07083299424913","72","5200","MIA@PHI","MIA","PHI","","","",""
"24943-58084","SF","Justise","Justise Winslow","Winslow","20.279411764705884","68","5100","MIA@PHI","MIA","PHI","","","",""
"24943-9570","C","Pau","Pau Gasol","Gasol","26.977922712053573","77","5000","SA@GS","SA","GS","","","",""
"24943-14554","SF","E'Twaun","E'Twaun Moore","Moore","21.415853360804118","82","5000","NO@POR","NO","POR","","","",""
"24943-12342","PF","Al-Farouq","Al-Farouq Aminu","Aminu","24.318840579710145","69","4800","NO@POR","POR","NO","","","",""
"24943-9939","PG","Patty","Patty Mills","Mills","17.552439619855182","82","4800","SA@GS","SA","GS","","","",""
"24943-9661","C","Marcin","Marcin Gortat","Gortat","22.7817070193407","82","4700","WAS@TOR","WAS","TOR","","","",""
"24943-23447","C","Richaun","Richaun Holmes","Holmes","16.202083587646484","48","4500","MIA@PHI","PHI","MIA","","","",""
"24943-58153","SF","Kelly","Kelly Oubre Jr.","Oubre Jr.","22.106172538097994","81","4400","WAS@TOR","WAS","TOR","","","",""
"24943-9585","SG","Dwyane","Dwyane Wade","Wade","23.782089916627797","67","4400","MIA@PHI","MIA","PHI","","","",""
"24943-58576","PF","Kevon","Kevon Looney","Looney","12.530303030303031","66","4400","SA@GS","GS","SA","","","",""
"24943-9704","SG","Manu","Manu Ginobili","Ginobili","16.352308067908655","65","4400","SA@GS","SA","GS","","","",""
"24943-58378","C","Jakob","Jakob Poeltl","Poeltl","17.757316775438262","82","4300","WAS@TOR","TOR","WAS","","","",""
"24943-80805","PG","Markelle","Markelle Fultz","Fultz","18.864286150251115","14","4300","MIA@PHI","PHI","MIA","","","",""
"24943-24247","PG","Fred","Fred VanVleet","VanVleet","18.793421695106908","76","4200","WAS@TOR","TOR","WAS","GTD","Shoulder","",""
"24943-60021","PF","Pascal","Pascal Siakam","Siakam","18.620988257137345","81","4100","WAS@TOR","TOR","WAS","","","",""
"24943-9862","PF","Amir","Amir Johnson","Johnson","15.216216216216216","74","4100","MIA@PHI","PHI","MIA","","","",""
"24943-23097","PG","Tomas","Tomas Satoransky","Satoransky","18.443835950877567","73","4000","WAS@TOR","WAS","TOR","","","",""
"24943-17747","PG","Ian","Ian Clark","Clark","12.708108438027871","74","4000","NO@POR","NO","POR","","","",""
"24943-9664","SF","Andre","Andre Iguodala","Iguodala","18.799999237060547","64","4000","SA@GS","GS","SA","GTD","Knee","",""
"24943-16178","SF","Maurice","Maurice Harkless","Harkless","15.116949566340041","59","3900","NO@POR","POR","NO","GTD","Knee","",""
"24943-40830","PG","Delon","Delon Wright","Wright","19.269564863564312","69","3900","WAS@TOR","TOR","WAS","","","",""
"24943-9758","SG","Danny","Danny Green","Green","20.268572126116073","70","3800","SA@GS","SA","GS","","","",""
"24943-9643","PG","Shaun","Shaun Livingston","Livingston","12.270422707141286","71","3800","SA@GS","GS","SA","","","",""
"24943-49675","PG","Derrick","Derrick White","White","6.688235114602482","17","3700","SA@GS","SA","GS","","","",""
"24943-58658","SG","Patrick","Patrick McCaw","McCaw","9.96666623834978","57","3700","SA@GS","GS","SA","O","Back","",""
"24943-18393","PG","T.J.","T.J. McConnell","McConnell","18.482894094366777","76","3700","MIA@PHI","PHI","MIA","","","",""
