"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"24484-40199","SF","Giannis","Giannis Antetokounmpo","Antetokounmpo","51.844287109375","70","11200","MIL@GS","MIL","GS","","","",""
"24484-9642","PG","Russell","Russell Westbrook","Westbrook","53.277027027027025","74","11200","OKC@SA","OKC","SA","","","",""
"24484-9646","SF","Kevin","Kevin Durant","Durant","47.518034387807376","61","10800","MIL@GS","GS","MIL","","","",""
"24484-9524","PG","Stephen","Stephen Curry","Curry","43.42115196814904","52","10000","MIL@GS","GS","MIL","O","Knee","",""
"24484-15557","C","Andre","Andre Drummond","Drummond","45.19040962114726","73","9400","WAS@DET","DET","WAS","","","",""
"24484-9688","PF","LaMarcus","LaMarcus Aldridge","Aldridge","39.11304418591485","69","8900","OKC@SA","SA","OKC","","","",""
"24484-15684","SG","Victor","Victor Oladipo","Oladipo","41.59285714285714","70","8800","IND@SAC","IND","SAC","","","",""
"24484-9560","PF","Blake","Blake Griffin","Griffin","39.09655340786638","58","8500","WAS@DET","DET","WAS","O","Ankle","",""
"24484-15860","PF","Draymond","Draymond Green","Green","36.8936515687004","63","8500","MIL@GS","GS","MIL","","","",""
"24484-22541","PF","Kelly","Kelly Olynyk","Olynyk","24.539129727128625","69","7800","CHI@MIA","MIA","CHI","","","",""
"24484-16261","SG","Khris","Khris Middleton","Middleton","34.975675015836146","74","7800","MIL@GS","MIL","GS","","","",""
"24484-15595","SG","Bradley","Bradley Beal","Beal","37.10666666666667","75","7800","WAS@DET","WAS","DET","","","",""
"24484-12341","SF","Paul","Paul George","George","38.273972602739725","73","7700","OKC@SA","OKC","SA","","","",""
"24484-12355","PG","Eric","Eric Bledsoe","Bledsoe","33.781819661458336","66","7500","MIL@GS","MIL","GS","","","",""
"24484-12363","C","Hassan","Hassan Whiteside","Whiteside","35.325532953789896","47","7500","CHI@MIA","MIA","CHI","","","",""
"24484-15628","SF","Otto","Otto Porter Jr.","Porter Jr.","31.032857840401785","70","7200","WAS@DET","WAS","DET","","","",""
"24484-23169","C","Steven","Steven Adams","Adams","31.937680451766305","69","6900","OKC@SA","OKC","SA","","","",""
"24484-9966","PF","James","James Johnson","Johnson","25.49701565415112","67","6800","CHI@MIA","MIA","CHI","","","",""
"24484-14509","SG","Klay","Klay Thompson","Thompson","30.061193665461754","67","6700","MIL@GS","GS","MIL","O","Thumb","",""
"24484-9673","PG","Goran","Goran Dragic","Dragic","29.987325319102112","71","6700","CHI@MIA","MIA","CHI","","","",""
"24484-58253","C","Myles","Myles Turner","Turner","29.398275441136853","58","6600","IND@SAC","IND","SAC","","","",""
"24484-23823","C","Willie","Willie Cauley-Stein","Cauley-Stein","28.419696229876894","66","6500","IND@SAC","SAC","IND","","","",""
"24484-42156","PF","Bobby","Bobby Portis","Portis","25.490769606370193","65","6300","CHI@MIA","CHI","MIA","","","",""
"24484-16233","SF","Josh","Josh Richardson","Richardson","26.70405372413429","74","6200","CHI@MIA","MIA","CHI","","","",""
"24484-23665","SG","Buddy","Buddy Hield","Hield","23.04054054054054","74","6200","IND@SAC","SAC","IND","","","",""
"24484-9666","PF","Thaddeus","Thaddeus Young","Young","27.404000651041667","75","6200","IND@SAC","IND","SAC","","","",""
"24484-23802","PG","Kris","Kris Dunn","Dunn","32.05471744177476","53","6200","CHI@MIA","CHI","MIA","O","Toe","",""
"24484-9624","PG","Darren","Darren Collison","Collison","27.200000393775202","62","6000","IND@SAC","IND","SAC","","","",""
"24484-14513","SF","Kawhi","Kawhi Leonard","Leonard","32.54444376627604","9","6000","OKC@SA","SA","OKC","O","Quadriceps","",""
"24484-40783","SG","Zach","Zach LaVine","LaVine","27.616666158040363","24","5900","CHI@MIA","CHI","MIA","O","Knee","",""
"24484-23097","PG","Tomas","Tomas Satoransky","Satoransky","18.13999962439904","65","5700","WAS@DET","WAS","DET","","","",""
"24484-67708","PG","Dejounte","Dejounte Murray","Murray","21.42432465424409","74","5700","OKC@SA","SA","OKC","","","",""
"24484-15582","PG","Quinn","Quinn Cook","Cook","13.255999755859374","25","5700","MIL@GS","GS","MIL","","","",""
"24484-14511","PF","Markieff","Markieff Morris","Morris","23.415384615384614","65","5600","WAS@DET","WAS","DET","","","",""
"24484-66109","PF","Skal","Skal Labissiere","Labissiere","19.04736756441886","57","5500","IND@SAC","SAC","IND","","","",""
"24484-80812","PF","Lauri","Lauri Markkanen","Markkanen","27.782540457589285","63","5500","CHI@MIA","CHI","MIA","O","Rest","",""
"24484-58153","SF","Kelly","Kelly Oubre Jr.","Oubre Jr.","22.331506180436644","73","5400","WAS@DET","WAS","DET","","","",""
"24484-9508","PF","Carmelo","Carmelo Anthony","Anthony","27.649295430787852","71","5300","OKC@SA","OKC","SA","","","",""
"24484-9585","SG","Dwyane","Dwyane Wade","Wade","24.004918833247952","61","5300","CHI@MIA","MIA","CHI","","","",""
"24484-14523","PG","Reggie","Reggie Jackson","Jackson","24.940540210620778","37","5300","WAS@DET","DET","WAS","","","",""
"24484-24546","SF","Denzel","Denzel Valentine","Valentine","23.149999670080238","74","5300","CHI@MIA","CHI","MIA","","","",""
"24484-9758","SG","Danny","Danny Green","Green","20.58730158730159","63","5200","OKC@SA","SA","OKC","","","",""
"24484-23716","SF","Kyle","Kyle Anderson","Anderson","24.276119402985074","67","5200","OKC@SA","SA","OKC","","","",""
"24484-15952","PF","John","John Henson","Henson","23.840579710144926","69","5100","MIL@GS","MIL","GS","","","",""
"24484-16359","SG","Malcolm","Malcolm Brogdon","Brogdon","24.193478791610055","46","5100","MIL@GS","MIL","GS","O","Quadriceps","",""
"24484-15947","SF","Reggie","Reggie Bullock","Bullock","18.55517157192888","58","5000","WAS@DET","DET","WAS","","","",""
"24484-48567","PG","Cameron","Cameron Payne","Payne","21.65294153550092","17","5000","CHI@MIA","CHI","MIA","","","",""
"24484-58576","PF","Kevon","Kevon Looney","Looney","11.398305084745763","59","5000","MIL@GS","GS","MIL","","","",""
"24484-14530","SF","Bojan","Bojan Bogdanovic","Bogdanovic","21.636486156566722","74","4900","IND@SAC","IND","SAC","","","",""
"24484-9579","PF","Zach","Zach Randolph","Randolph","26.506780074814618","59","4800","IND@SAC","SAC","IND","","","",""
"24484-80810","PG","De'Aaron","De'Aaron Fox","Fox","21.935820166744403","67","4800","IND@SAC","SAC","IND","","","",""
"24484-40769","PF","Jordan","Jordan Bell","Bell","16.520408163265305","49","4700","MIL@GS","GS","MIL","","","",""
"24484-18600","PG","Tyler","Tyler Johnson","Johnson","22.413846529447117","65","4700","CHI@MIA","MIA","CHI","","","",""
"24484-9664","SF","Andre","Andre Iguodala","Iguodala","18.856451219128026","62","4700","MIL@GS","GS","MIL","","","",""
"24484-42550","PF","Jabari","Jabari Parker","Parker","20.517391038977582","23","4600","MIL@GS","MIL","GS","","","",""
"24484-9570","C","Pau","Pau Gasol","Gasol","27.57000034877232","70","4600","OKC@SA","SA","OKC","","","",""
"24484-42661","PF","Noah","Noah Vonleh","Vonleh","13.75800048828125","50","4600","CHI@MIA","CHI","MIA","","","",""
"24484-58084","SF","Justise","Justise Winslow","Winslow","19.837704517802255","61","4600","CHI@MIA","MIA","CHI","","","",""
"24484-9737","SG","Nick","Nick Young","Young","11.115277608235678","72","4500","MIL@GS","GS","MIL","","","",""
"24484-15996","PG","Jerian","Jerian Grant","Grant","19.67575720584754","66","4500","CHI@MIA","CHI","MIA","","","",""
"24484-80817","C","Bam","Bam Adebayo","Adebayo","18.325000762939453","64","4500","CHI@MIA","MIA","CHI","","","",""
"24484-9939","PG","Patty","Patty Mills","Mills","17.369332682291667","75","4500","OKC@SA","SA","OKC","","","",""
"24484-9606","SF","Corey","Corey Brewer","Brewer","11.233846341646634","65","4400","OKC@SA","OKC","SA","","","",""
"24484-9920","PF","Anthony","Anthony Tolliver","Tolliver","14.284507214183538","71","4400","WAS@DET","DET","WAS","","","",""
"24484-55060","SG","Bogdan","Bogdan Bogdanovic","Bogdanovic","22.09722222222222","72","4300","IND@SAC","SAC","IND","","","",""
"24484-9661","C","Marcin","Marcin Gortat","Gortat","22.90405438397382","74","4300","WAS@DET","WAS","DET","","","",""
"24484-12511","PG","Ish","Ish Smith","Smith","22.39189189189189","74","4300","WAS@DET","DET","WAS","","","",""
"24484-9956","SG","Wayne","Wayne Ellington","Ellington","18.018572126116073","70","4200","CHI@MIA","MIA","CHI","","","",""
"24484-9960","SF","Omri","Omri Casspi","Casspi","13.028301886792454","53","4200","MIL@GS","GS","MIL","O","Ankle","",""
"24484-42733","SF","David","David Nwaba","Nwaba","17.951612903225808","62","4200","CHI@MIA","CHI","MIA","","","",""
"24484-66046","SG","Luke","Luke Kennard","Kennard","13.586153470552885","65","4200","WAS@DET","DET","WAS","","","",""
"24484-9629","PF","David","David West","West","17.853846153846153","65","4100","MIL@GS","GS","MIL","","","",""
"24484-58350","SF","Stanley","Stanley Johnson","Johnson","18.296720911244876","61","4100","WAS@DET","DET","WAS","","","",""
"24484-63478","C","Cristiano","Cristiano Felicio","Felicio","11.25","48","4100","CHI@MIA","CHI","MIA","O","Back","",""
"24484-58134","SF","Justin","Justin Jackson","Jackson","12.752459416623976","61","4000","IND@SAC","SAC","IND","","","",""
"24484-9577","SF","Rudy","Rudy Gay","Gay","21.94199951171875","50","4000","OKC@SA","SA","OKC","","","",""
"24484-14529","PG","Cory","Cory Joseph","Joseph","19.390667317708335","75","4000","IND@SAC","IND","SAC","","","",""
"24484-49114","PG","Frank","Frank Mason","Mason","17.04255319148936","47","4000","IND@SAC","SAC","IND","","","",""
"24484-59358","PF","Domantas","Domantas Sabonis","Sabonis","25.016176111557904","68","4000","IND@SAC","IND","SAC","","","",""
"24484-9731","C","Kosta","Kosta Koufos","Koufos","19.287142508370536","70","3900","IND@SAC","SAC","IND","","","",""
"24484-66114","PG","Antonio","Antonio Blakeney","Blakeney","12.294737163342928","19","3900","CHI@MIA","CHI","MIA","O","Wrist","",""
"24484-9496","SG","Jason","Jason Terry","Terry","8.602325439453125","43","3800","MIL@GS","MIL","GS","","","",""
"24484-49675","PG","Derrick","Derrick White","White","6.688235114602482","17","3700","OKC@SA","SA","OKC","","","",""
"24484-23831","PF","Jerami","Jerami Grant","Grant","17.26891924883868","74","3700","OKC@SA","OKC","SA","","","",""
"24484-15961","C","Tyler","Tyler Zeller","Zeller","14.312068544585129","58","3700","MIL@GS","MIL","GS","","","",""
"24484-20064","PG","Matthew","Matthew Dellavedova","Dellavedova","12.016216381176099","37","3700","MIL@GS","MIL","GS","GTD","Ankle","",""
"24484-16506","PG","Dwight","Dwight Buycks","Buycks","12.989655593345905","29","3700","WAS@DET","DET","WAS","","","",""
"24484-9605","PG","Ramon","Ramon Sessions","Sessions","12.021739130434783","23","3700","WAS@DET","WAS","DET","","","",""
"24484-9609","C","Al","Al Jefferson","Jefferson","15.744117288028493","34","3700","IND@SAC","IND","SAC","","","",""
"24484-9643","PG","Shaun","Shaun Livingston","Livingston","12.138461538461538","65","3700","MIL@GS","GS","MIL","","","",""
"24484-9953","C","Ian","Ian Mahinmi","Mahinmi","12.774647887323944","71","3700","WAS@DET","WAS","DET","","","",""
"24484-23788","SG","Bryn","Bryn Forbes","Forbes","10.814864699904984","74","3700","OKC@SA","SA","OKC","","","",""
