"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"24457-9488","SF","LeBron","LeBron James","James","54.322666015625","75","12500","CLE@CHA","CLE","CHA","","","",""
"24457-58462","C","Karl-Anthony","Karl-Anthony Towns","Towns","43.55000064247533","76","10800","ATL@MIN","MIN","ATL","","","",""
"24457-49111","C","Joel","Joel Embiid","Embiid","44.209373474121094","64","10200","NY@PHI","PHI","NY","","","",""
"24457-66115","PF","Ben","Ben Simmons","Simmons","41.71506782427226","73","9800","NY@PHI","PHI","NY","","","",""
"24457-14528","SF","Jimmy","Jimmy Butler","Butler","41.38392857142857","56","9700","ATL@MIN","MIN","ATL","O","Knee","",""
"24457-20848","PG","Damian","Damian Lillard","Lillard","43.1985294117647","68","9400","POR@MEM","POR","MEM","O","Personal","",""
"24457-40203","C","Rudy","Rudy Gobert","Gobert","36.606249491373696","48","8900","BOS@UTA","UTA","BOS","","","",""
"24457-14514","C","Nikola","Nikola Vucevic","Vucevic","36.9060009765625","50","8700","BKN@ORL","ORL","BKN","","","",""
"24457-9660","C","Dwight","Dwight Howard","Howard","37.53648582664696","74","8700","CLE@CHA","CHA","CLE","","","",""
"24457-14507","PG","Kemba","Kemba Walker","Walker","37.552701383023646","74","8600","CLE@CHA","CHA","CLE","","","",""
"24457-80806","PG","Lonzo","Lonzo Ball","Ball","34.54313629748774","51","8600","DAL@LAL","LAL","DAL","","","",""
"24457-42669","PF","Julius","Julius Randle","Randle","30.33013832405822","73","8500","DAL@LAL","LAL","DAL","","","",""
"24457-9581","C","Marc","Marc Gasol","Gasol","37.68382352941177","68","8200","POR@MEM","MEM","POR","","","",""
"24457-9874","PF","Kevin","Kevin Love","Love","33.22641509433962","53","8100","CLE@CHA","CLE","CHA","O","Concussion","",""
"24457-41594","PF","Aaron","Aaron Gordon","Gordon","35.51199951171875","50","8000","BKN@ORL","ORL","BKN","","","",""
"24457-66113","SG","Donovan","Donovan Mitchell","Mitchell","33.05694580078125","72","7900","BOS@UTA","UTA","BOS","","","",""
"24457-9561","C","DeAndre","DeAndre Jordan","Jordan","35.78405938632246","69","7900","LAC@PHO","LAC","PHO","","","",""
"24457-19067","SG","CJ","CJ McCollum","McCollum","33.43972736515411","73","7800","POR@MEM","POR","MEM","","","",""
"24457-14498","PG","Kyrie","Kyrie Irving","Irving","38.38196801357582","61","7800","BOS@UTA","BOS","UTA","O","Knee","",""
"24457-9662","SG","Lou","Lou Williams","Williams","35.19315202268836","73","7800","LAC@PHO","LAC","PHO","","","",""
"24457-9446","PG","Jeff","Jeff Teague","Teague","30.907812118530273","64","7600","ATL@MIN","MIN","ATL","","","",""
"24457-23572","SF","Taurean","Taurean Prince","Prince","25.442666015625","75","7500","ATL@MIN","ATL","MIN","","","",""
