"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"24574-9488","SF","LeBron","LeBron James","James","54.47402597402598","77","12300","DAL@CLE","CLE","DAL","","","",""
"24574-15755","PF","Anthony","Anthony Davis","Davis","54.07714146205357","70","11800","OKC@NO","NO","OKC","","","",""
"24574-9642","PG","Russell","Russell Westbrook","Westbrook","53.38815789473684","76","11600","OKC@NO","OKC","NO","","","",""
"24574-40199","SF","Giannis","Giannis Antetokounmpo","Antetokounmpo","51.80000135633681","72","11100","MIL@DEN","MIL","DEN","","","",""
"24574-9646","SF","Kevin","Kevin Durant","Durant","47.07460239955357","63","10800","PHO@GS","GS","PHO","","","",""
"24574-58462","C","Karl-Anthony","Karl-Anthony Towns","Towns","44.1448724208734","78","10400","UTA@MIN","MIN","UTA","","","",""
"24574-55062","C","Nikola","Nikola Jokic","Jokic","42.50869706748188","69","10200","MIL@DEN","DEN","MIL","","","",""
"24574-15557","C","Andre","Andre Drummond","Drummond","45.46533203125","75","10000","DET@BKN","DET","BKN","","","",""
"24574-9524","PG","Stephen","Stephen Curry","Curry","43.42115196814904","52","10000","PHO@GS","GS","PHO","O","Knee","",""
"24574-20848","PG","Damian","Damian Lillard","Lillard","43.15072322237319","69","9800","MEM@POR","POR","MEM","","","",""
"24574-14528","SF","Jimmy","Jimmy Butler","Butler","41.38392857142857","56","9700","UTA@MIN","MIN","UTA","O","Knee","",""
"24574-14514","C","Nikola","Nikola Vucevic","Vucevic","37.174999530498795","52","9400","ORL@ATL","ORL","ATL","","","",""
"24574-15860","PF","Draymond","Draymond Green","Green","36.79384765625","65","9000","PHO@GS","GS","PHO","","","",""
"24574-42669","PF","Julius","Julius Randle","Randle","30.47466796875","75","8500","SAC@LAL","LAL","SAC","","","",""
"24574-9560","PF","Blake","Blake Griffin","Griffin","39.09655340786638","58","8500","DET@BKN","DET","BKN","O","Ankle","",""
"24574-40203","C","Rudy","Rudy Gobert","Gobert","36.2260009765625","50","8400","UTA@MIN","UTA","MIN","","","",""
"24574-80806","PG","Lonzo","Lonzo Ball","Ball","34.25","52","8300","SAC@LAL","LAL","SAC","GTD","Knee","",""
"24574-9663","SG","Jrue","Jrue Holiday","Holiday","37.104000651041666","75","8300","OKC@NO","NO","OKC","","","",""
"24574-12355","PG","Eric","Eric Bledsoe","Bledsoe","34.35000071806066","68","7900","MIL@DEN","MIL","DEN","","","",""
"24574-41594","PF","Aaron","Aaron Gordon","Gordon","35.203845684344955","52","7900","ORL@ATL","ORL","ATL","","","",""
"24574-55057","C","Jusuf","Jusuf Nurkic","Nurkic","31.89315001605308","73","7900","MEM@POR","POR","MEM","","","",""
"24574-19067","SG","CJ","CJ McCollum","McCollum","33.52400065104167","75","7800","MEM@POR","POR","MEM","","","",""
"24574-16261","SG","Khris","Khris Middleton","Middleton","35.19868549547697","76","7800","MIL@DEN","MIL","DEN","","","",""
"24574-12341","SF","Paul","Paul George","George","38.39466796875","75","7600","OKC@NO","OKC","NO","","","",""
"24574-66113","SG","Donovan","Donovan Mitchell","Mitchell","32.99594528610642","74","7600","UTA@MIN","UTA","MIN","","","",""
"24574-80809","SF","Josh","Josh Jackson","Jackson","22.78918951910895","74","7600","PHO@GS","PHO","GS","","","",""
"24574-14496","PG","Ricky","Ricky Rubio","Rubio","28.776055994168132","71","7500","UTA@MIN","UTA","MIN","GTD","Hamstring","",""
"24574-58312","SG","D'Angelo","D'Angelo Russell","Russell","28.211905343191965","42","7400","DET@BKN","BKN","DET","","","",""
"24574-66108","PG","Jamal","Jamal Murray","Murray","27.832895379317435","76","7300","MIL@DEN","DEN","MIL","","","",""
"24574-23169","C","Steven","Steven Adams","Adams","31.93380350462148","71","7300","OKC@NO","OKC","NO","","","",""
"24574-42148","PF","Rondae","Rondae Hollis-Jefferson","Hollis-Jefferson","29.37258025138609","62","7300","DET@BKN","BKN","DET","","","",""
"24574-23572","SF","Taurean","Taurean Prince","Prince","25.540259423193994","77","7200","ORL@ATL","ATL","ORL","","","",""
"24574-9874","PF","Kevin","Kevin Love","Love","33.011110658998845","54","7200","DAL@CLE","CLE","DAL","","","",""
"24574-9729","PF","Paul","Paul Millsap","Millsap","31.140625","32","7000","MIL@DEN","DEN","MIL","","","",""
"24574-58377","PF","Kyle","Kyle Kuzma","Kuzma","28.022972313133447","74","7000","SAC@LAL","LAL","SAC","","","",""
