"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"24511-66048","SF","Brandon","Brandon Ingram","Ingram","30.15762794623941","59","6000","MIL@LAL","LAL","MIL","","","",""
"24511-20491","SF","Robert","Robert Covington","Covington","27.54027811686198","72","6000","PHI@ATL","PHI","ATL","","","",""
"24511-15592","PG","Austin","Austin Rivers","Rivers","26.967271839488635","55","6000","LAC@POR","LAC","POR","","","",""
"24511-9556","SG","Eric","Eric Gordon","Gordon","25.906061345880683","66","5800","PHO@HOU","HOU","PHO","","","",""
"24511-9455","PG","Rajon","Rajon Rondo","Rondo","26.27930950296336","58","5700","NO@CLE","NO","CLE","GTD","Wrist","",""
"24511-12368","SF","Nemanja","Nemanja Bjelica","Bjelica","15.619671931032274","61","5600","MIN@DAL","MIN","DAL","","","",""
"24511-23825","C","Nerlens","Nerlens Noel","Noel","16.36785670689174","28","5600","MIN@DAL","DAL","MIN","","","",""
"24511-20992","PF","Larry","Larry Nance Jr.","Nance Jr.","24.55762753244174","59","5500","NO@CLE","CLE","NO","","","",""
"24511-66236","PF","John","John Collins","Collins","24.274999281939337","68","5500","PHI@ATL","ATL","PHI","","","",""
"24511-9495","PG","J.J.","J.J. Barea","Barea","24.282089916627797","67","5500","MIN@DAL","DAL","MIN","GTD","Personal","",""
"24511-9508","PF","Carmelo","Carmelo Anthony","Anthony","27.606943766276043","72","5500","DEN@OKC","OKC","DEN","","","",""
"24511-9538","SF","Trevor","Trevor Ariza","Ariza","23.98871046496976","62","5500","PHO@HOU","HOU","PHO","GTD","Elbow","",""
"24511-9637","SF","Danilo","Danilo Gallinari","Gallinari","26.37368453176398","19","5500","LAC@POR","LAC","POR","","","",""
"24511-12351","PF","Derrick","Derrick Favors","Favors","26.861429268973215","70","5400","MEM@UTA","UTA","MEM","","","",""
"24511-16301","C","Dewayne","Dewayne Dedmon","Dedmon","24.03928484235491","56","5400","PHI@ATL","ATL","PHI","","","",""
"24511-9481","PF","Taj","Taj Gibson","Gibson","25.961841784025495","76","5300","MIN@DAL","MIN","DAL","","","",""
"24511-19138","PG","Elfrid","Elfrid Payton","Payton","29.560318235367063","63","5200","PHO@HOU","PHO","HOU","GTD","Knee","",""
"24511-9636","SF","Wilson","Wilson Chandler","Chandler","21.97205846449908","68","5200","DEN@OKC","DEN","OKC","","","",""
"24511-15952","PF","John","John Henson","Henson","23.85","70","5100","MIL@LAL","MIL","LAL","","","",""
"24511-67707","PF","Marquese","Marquese Chriss","Chriss","18.7911771886489","68","5100","PHO@HOU","PHO","HOU","","","",""
"24511-16178","SF","Maurice","Maurice Harkless","Harkless","15.116949566340041","59","5100","LAC@POR","POR","LAC","O","Knee","",""
"24511-9655","SG","JJ","JJ Redick","Redick","24.434921022445437","63","5100","PHI@ATL","PHI","ATL","","","",""
"24511-16359","SG","Malcolm","Malcolm Brogdon","Brogdon","24.193478791610055","46","5100","MIL@LAL","MIL","LAL","O","Quadriceps","",""
"24511-15405","PF","JaMychal","JaMychal Green","Green","24.594443992332177","54","5000","MEM@UTA","MEM","UTA","","","",""
"24511-42665","PG","Andrew","Andrew Harrison","Harrison","19.10178484235491","56","4900","MEM@UTA","MEM","UTA","O","Wrist","",""
"24511-49349","PG","Isaiah","Isaiah Taylor","Taylor","12.92000020345052","60","4800","PHI@ATL","ATL","PHI","","","",""
"24511-14554","SF","E'Twaun","E'Twaun Moore","Moore","21.127999674479167","75","4800","NO@CLE","NO","CLE","","","",""
"24511-15800","PF","Jae","Jae Crowder","Crowder","17.771233545590754","73","4800","MEM@UTA","UTA","MEM","","","",""
"24511-40562","SG","Josh","Josh Hart","Hart","14.976363858309659","55","4700","MIL@LAL","LAL","MIL","","","",""
"24511-42550","PF","Jabari","Jabari Parker","Parker","20.78333282470703","24","4600","MIL@LAL","MIL","LAL","","","",""
"24511-14522","PF","Nikola","Nikola Mirotic","Mirotic","28.558334350585938","48","4600","NO@CLE","NO","CLE","","","",""
"24511-23772","PG","Yogi","Yogi Ferrell","Ferrell","19.490667317708333","75","4600","MIN@DAL","DAL","MIN","","","",""
"24511-80805","PG","Markelle","Markelle Fultz","Fultz","16.933333079020183","6","4600","PHI@ATL","PHI","ATL","","","",""
"24511-9703","PG","George","George Hill","Hill","20.337499618530273","64","4600","NO@CLE","CLE","NO","","","",""
"24511-64017","C","Salah","Salah Mejri","Mejri","13.130508681475106","59","4500","MIN@DAL","DAL","MIN","","","",""
"24511-9500","PF","Dirk","Dirk Nowitzki","Nowitzki","24.110810150971282","74","4500","MIN@DAL","DAL","MIN","GTD","Knee","",""
"24511-40819","PF","Jarell","Jarell Martin","Martin","16.90142822265625","70","4500","MEM@UTA","MEM","UTA","","","",""
"24511-15814","C","Alex","Alex Len","Len","21.673846905048077","65","4500","PHO@HOU","PHO","HOU","O","Ankle","",""
"24511-15904","SG","Rodney","Rodney Hood","Hood","22.312726384943183","55","4400","NO@CLE","CLE","NO","","","",""
"24511-24186","SG","Tyrone","Tyrone Wallace","Wallace","20.66521686056386","23","4400","LAC@POR","LAC","POR","","","",""
"24511-9606","SF","Corey","Corey Brewer","Brewer","11.456060236150568","66","4400","DEN@OKC","OKC","DEN","","","",""
"24511-81026","PG","Milos","Milos Teodosic","Teodosic","19.571111382378472","45","4300","LAC@POR","LAC","POR","O","Foot","",""
"24511-15560","PG","Shabazz","Shabazz Napier","Napier","17.46268656716418","67","4300","LAC@POR","POR","LAC","","","",""
"24511-9473","C","Tyson","Tyson Chandler","Chandler","20.67608642578125","46","4300","PHO@HOU","PHO","HOU","O","Neck","",""
"24511-16196","PF","Dwight","Dwight Powell","Powell","19.708218509203768","73","4300","MIN@DAL","DAL","MIN","GTD","Knee","",""
"24511-49115","SG","Wayne","Wayne Selden","Selden","14.275757760712594","33","4300","MEM@UTA","MEM","UTA","","","",""
"24511-17894","C","Mike","Mike Muscala","Muscala","16.554347826086957","46","4300","PHI@ATL","ATL","PHI","","","",""
"24511-58463","PG","Tyler","Tyler Ulis","Ulis","16.66307654747596","65","4200","PHO@HOU","PHO","HOU","","","",""
"24511-20640","SG","Jordan","Jordan Clarkson","Clarkson","22.45810843802787","74","4200","NO@CLE","CLE","NO","","","",""
"24511-20805","SG","Troy","Troy Daniels","Daniels","12.32933349609375","75","4200","PHO@HOU","PHO","HOU","","","",""
"24511-12359","SF","Evan","Evan Turner","Turner","16.541666666666668","72","4100","LAC@POR","POR","LAC","","","",""
"24511-58490","PG","Wade","Wade Baldwin IV","Baldwin IV","12","2","4100","LAC@POR","POR","LAC","","","",""
"24511-9598","PF","Ersan","Ersan Ilyasova","Ilyasova","21.444261894851433","61","4100","PHI@ATL","PHI","ATL","","","",""
"24511-9648","PF","Jeff","Jeff Green","Green","18.305633115096832","71","4100","NO@CLE","CLE","NO","","","",""
"24511-9870","SG","Kyle","Kyle Korver","Korver","15.504348533740941","69","4000","NO@CLE","CLE","NO","O","Foot","",""
"24511-70819","PF","Dragan","Dragan Bender","Bender","14.639473362972861","76","4000","PHO@HOU","PHO","HOU","","","",""
"24511-23776","PF","Montrezl","Montrezl Harrell","Harrell","19.1231884057971","69","4000","LAC@POR","LAC","POR","","","",""
"24511-9448","SG","Jamal","Jamal Crawford","Crawford","15.978378708298141","74","4000","MIN@DAL","MIN","DAL","","","",""
"24511-9506","SG","JR","JR Smith","Smith","16.69451987906678","73","4000","NO@CLE","CLE","NO","GTD","Illness","",""
"24511-60233","SF","Dillon","Dillon Brooks","Brooks","17.642105905633223","76","4000","MEM@UTA","MEM","UTA","","","",""
"24511-18376","SG","Damion","Damion Lee","Lee","20.950000762939453","8","4000","PHI@ATL","ATL","PHI","","","",""
"24511-67025","PF","Ivan","Ivan Rabb","Rabb","10.193103658741919","29","4000","MEM@UTA","MEM","UTA","GTD","Heel","",""
"24511-9715","SG","Marco","Marco Belinelli","Belinelli","17.97361077202691","72","4000","PHI@ATL","PHI","ATL","","","",""
"24511-9849","SF","Gerald","Gerald Green","Green","18.350000718060663","34","3900","PHO@HOU","HOU","PHO","","","",""
"24511-82744","SG","Shaquille","Shaquille Harrison","Harrison","14.747058644014245","17","3900","PHO@HOU","PHO","HOU","","","",""
