"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"24542-9646","SF","Kevin","Kevin Durant","Durant","47.051612115675404","62","10900","GS@SAC","GS","SAC","","","",""
"24542-9524","PG","Stephen","Stephen Curry","Curry","43.42115196814904","52","10000","GS@SAC","GS","SAC","O","Knee","",""
"24542-15557","C","Andre","Andre Drummond","Drummond","45.38513513513514","74","9900","DET@NY","DET","NY","","","",""
"24542-14507","PG","Kemba","Kemba Walker","Walker","37.417333984375","75","8600","CHA@WAS","CHA","WAS","","","",""
"24542-9660","C","Dwight","Dwight Howard","Howard","37.509332682291664","75","8600","CHA@WAS","CHA","WAS","","","",""
"24542-15860","PF","Draymond","Draymond Green","Green","36.80156326293945","64","8600","GS@SAC","GS","SAC","","","",""
"24542-12332","PG","John","John Wall","Wall","41.321622281461146","37","8500","CHA@WAS","WAS","CHA","","","",""
"24542-9560","PF","Blake","Blake Griffin","Griffin","39.09655340786638","58","8500","DET@NY","DET","NY","O","Ankle","",""
"24542-9535","PG","Kyle","Kyle Lowry","Lowry","35.35694376627604","72","8300","TOR@BOS","TOR","BOS","","","",""
"24542-9714","SG","DeMar","DeMar DeRozan","DeRozan","37.51066731770833","75","7900","TOR@BOS","TOR","BOS","","","",""
"24542-14498","PG","Kyrie","Kyrie Irving","Irving","38.38196801357582","61","7800","TOR@BOS","BOS","TOR","O","Knee","",""
"24542-15595","SG","Bradley","Bradley Beal","Beal","36.91447368421053","76","7600","CHA@WAS","WAS","CHA","","","",""
"24542-12363","C","Hassan","Hassan Whiteside","Whiteside","35.20208231608073","48","7500","BKN@MIA","MIA","BKN","","","",""
"24542-58312","SG","D'Angelo","D'Angelo Russell","Russell","28.787806068978657","41","7400","BKN@MIA","BKN","MIA","","","",""
"24542-15628","SF","Otto","Otto Porter Jr.","Porter Jr.","30.784506354533452","71","7200","CHA@WAS","WAS","CHA","GTD","Ankle","",""
"24542-42148","PF","Rondae","Rondae Hollis-Jefferson","Hollis-Jefferson","29.086886046362704","61","7200","BKN@MIA","BKN","MIA","","","",""
"24542-42677","PG","Terry","Terry Rozier","Rozier","23.662666015625","75","7200","TOR@BOS","BOS","TOR","","","",""
"24542-9673","PG","Goran","Goran Dragic","Dragic","30.00833468967014","72","7200","BKN@MIA","MIA","BKN","","","",""
"24542-9587","SF","Michael","Michael Beasley","Beasley","23.450724283854168","69","7000","DET@NY","NY","DET","","","",""
"24542-14503","C","Jonas","Jonas Valanciunas","Valanciunas","26.974647199603872","71","7000","TOR@BOS","TOR","BOS","","","",""
"24542-9453","C","Al","Al Horford","Horford","31.845588235294116","68","7000","TOR@BOS","BOS","TOR","","","",""
"24542-14509","SG","Klay","Klay Thompson","Thompson","30.061193665461754","67","6700","GS@SAC","GS","SAC","GTD","Thumb","",""
