"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"24667-15755","PF","Anthony","Anthony Davis","Davis","54.07183236135563","71","12300","MEM@NO","NO","MEM","","","",""
"24667-15557","C","Andre","Andre Drummond","Drummond","45.26578883120888","76","10000","PHI@DET","DET","PHI","GTD","Illness","",""
"24667-66115","PF","Ben","Ben Simmons","Simmons","42.028570794439936","77","9700","PHI@DET","PHI","DET","","","",""
"24667-49111","C","Joel","Joel Embiid","Embiid","43.646153846153844","65","9700","PHI@DET","PHI","DET","O","Eye","",""
"24667-14514","C","Nikola","Nikola Vucevic","Vucevic","37.211111563223376","54","9300","DAL@ORL","ORL","DAL","","","",""
"24667-9688","PF","LaMarcus","LaMarcus Aldridge","Aldridge","39.65416802300347","72","9100","SA@LAL","SA","LAL","","","",""
"24667-9663","SG","Jrue","Jrue Holiday","Holiday","37.12894801089638","76","8800","MEM@NO","NO","MEM","","","",""
"24667-9560","PF","Blake","Blake Griffin","Griffin","39.09655340786638","58","8500","PHI@DET","DET","PHI","O","Ankle","",""
"24667-9535","PG","Kyle","Kyle Lowry","Lowry","34.96351417335304","74","8100","BOS@TOR","TOR","BOS","","","",""
"24667-42669","PF","Julius","Julius Randle","Randle","30.48701298701299","77","8100","SA@LAL","LAL","SA","","","",""
"24667-80806","PG","Lonzo","Lonzo Ball","Ball","34.25","52","8000","SA@LAL","LAL","SA","GTD","Knee","",""
"24667-9714","SG","DeMar","DeMar DeRozan","DeRozan","37.66623440036526","77","7900","BOS@TOR","TOR","BOS","","","",""
"24667-14498","PG","Kyrie","Kyrie Irving","Irving","38.38196801357582","61","7800","BOS@TOR","BOS","TOR","O","Knee","",""
"24667-41594","PF","Aaron","Aaron Gordon","Gordon","34.792593496817126","54","7700","DAL@ORL","ORL","DAL","","","",""
"24667-22541","PF","Kelly","Kelly Olynyk","Olynyk","24.28472222222222","72","7500","MIA@ATL","MIA","ATL","","","",""
"24667-12363","C","Hassan","Hassan Whiteside","Whiteside","35.1660009765625","50","7300","MIA@ATL","MIA","ATL","","","",""
"24667-42677","PG","Terry","Terry Rozier","Rozier","23.839474326685856","76","7300","BOS@TOR","BOS","TOR","GTD","Ankle","",""
"24667-9453","C","Al","Al Horford","Horford","31.785714285714285","70","7100","BOS@TOR","BOS","TOR","","","",""
"24667-40201","PG","Dennis","Dennis Schroder","Schroder","33.24029996501866","67","7000","MIA@ATL","ATL","MIA","O","Ankle","",""
"24667-9692","SG","Tyreke","Tyreke Evans","Evans","35.29423170823317","52","7000","MEM@NO","MEM","NO","O","Personal","",""
"24667-15946","SF","Harrison","Harrison Barnes","Barnes","30.202666015625","75","6700","DAL@ORL","DAL","ORL","O","Rest","",""
"24667-23572","SF","Taurean","Taurean Prince","Prince","25.187342390229432","79","6600","MIA@ATL","ATL","MIA","","","",""
"24667-67708","PG","Dejounte","Dejounte Murray","Murray","21.77662401075487","77","6600","SA@LAL","SA","LAL","","","",""
"24667-80808","SF","Jayson","Jayson Tatum","Tatum","26.16025641025641","78","6600","BOS@TOR","BOS","TOR","","","",""
"24667-9673","PG","Goran","Goran Dragic","Dragic","30.15810744826858","74","6600","MIA@ATL","MIA","ATL","","","",""
"24667-58377","PF","Kyle","Kyle Kuzma","Kuzma","28.01841976768092","76","6500","SA@LAL","LAL","SA","","","",""
"24667-14503","C","Jonas","Jonas Valanciunas","Valanciunas","27.039726361836472","73","6500","BOS@TOR","TOR","BOS","","","",""
"24667-9966","PF","James","James Johnson","Johnson","25.6028564453125","70","6500","MIA@ATL","MIA","ATL","","","",""
"24667-55056","PF","Dario","Dario Saric","Saric","27.96","75","6300","PHI@DET","PHI","DET","O","Elbow","",""
"24667-9581","C","Marc","Marc Gasol","Gasol","37.22112607284331","71","6300","MEM@NO","MEM","NO","","","",""
"24667-66236","PF","John","John Collins","Collins","24.646479217099472","71","6300","MIA@ATL","ATL","MIA","","","",""
"24667-9455","PG","Rajon","Rajon Rondo","Rondo","26.208333333333332","60","6300","MEM@NO","NO","MEM","","","",""
"24667-16233","SF","Josh","Josh Richardson","Richardson","26.876623376623378","77","6200","MIA@ATL","MIA","ATL","","","",""
"24667-16301","C","Dewayne","Dewayne Dedmon","Dedmon","24.45172329606681","58","6200","MIA@ATL","ATL","MIA","GTD","Ribs","",""
"24667-23096","SG","Evan","Evan Fournier","Fournier","27.53157980400219","57","6100","DAL@ORL","ORL","DAL","O","Knee","",""
"24667-18821","SF","Jonathon","Jonathon Simmons","Simmons","22.917392012001812","69","6100","DAL@ORL","ORL","DAL","O","Wrist","",""
"24667-9621","C","Brook","Brook Lopez","Lopez","24.668115588201992","69","6100","SA@LAL","LAL","SA","","","",""
"24667-20491","SF","Robert","Robert Covington","Covington","27.977333984375","75","6000","PHI@DET","PHI","DET","","","",""
"24667-14513","SF","Kawhi","Kawhi Leonard","Leonard","32.54444376627604","9","6000","SA@LAL","SA","LAL","O","Quadriceps","",""
"24667-49349","PG","Isaiah","Isaiah Taylor","Taylor","13.395238482762897","63","6000","MIA@ATL","ATL","MIA","","","",""
"24667-80814","PG","Dennis","Dennis Smith Jr.","Smith Jr.","28.0838228113511","68","5900","DAL@ORL","DAL","ORL","O","Knee","",""
"24667-66048","SF","Brandon","Brandon Ingram","Ingram","29.98166707356771","60","5800","SA@LAL","LAL","SA","GTD","Concussion","",""
"24667-15636","SG","Kentavious","Kentavious Caldwell-Pope","Caldwell-Pope","27.323189113451086","69","5800","SA@LAL","LAL","SA","","","",""
"24667-14523","PG","Reggie","Reggie Jackson","Jackson","25.310000610351562","40","5800","PHI@DET","DET","PHI","","","",""
"24667-14512","PF","Marcus","Marcus Morris","Morris","23.666666666666668","51","5700","BOS@TOR","BOS","TOR","","","",""
"24667-9466","PG","D.J.","D.J. Augustin","Augustin","19.358571079799106","70","5700","DAL@ORL","ORL","DAL","","","",""
"24667-63123","SF","Mario","Mario Hezonja","Hezonja","18.841428920200894","70","5600","DAL@ORL","ORL","DAL","","","",""
"24667-67026","SG","Jaylen","Jaylen Brown","Brown","25.62537349871735","67","5500","BOS@TOR","BOS","TOR","","","",""
"24667-9957","PF","Serge","Serge Ibaka","Ibaka","25.104166666666668","72","5500","BOS@TOR","TOR","BOS","","","",""
"24667-9585","SG","Dwyane","Dwyane Wade","Wade","24.0859375","64","5300","MIA@ATL","MIA","ATL","","","",""
"24667-9495","PG","J.J.","J.J. Barea","Barea","24.32058895335478","68","5200","DAL@ORL","DAL","ORL","","","",""
"24667-9920","PF","Anthony","Anthony Tolliver","Tolliver","14.83648681640625","74","5200","PHI@DET","DET","PHI","","","",""
"24667-12337","C","Greg","Greg Monroe","Monroe","22.941305409307066","46","5100","BOS@TOR","BOS","TOR","","","",""
"24667-23825","C","Nerlens","Nerlens Noel","Noel","16.520000203450522","30","5000","DAL@ORL","DAL","ORL","O","Suspension","",""
"24667-23670","SG","Marcus","Marcus Smart","Smart","24.4129638671875","54","5000","BOS@TOR","BOS","TOR","O","Thumb","",""
"24667-9598","PF","Ersan","Ersan Ilyasova","Ilyasova","21.9921875","64","5000","PHI@DET","PHI","DET","","","",""
"24667-9655","SG","JJ","JJ Redick","Redick","24.448484478574812","66","5000","PHI@DET","PHI","DET","","","",""
"24667-42665","PG","Andrew","Andrew Harrison","Harrison","19.10178484235491","56","4900","MEM@NO","MEM","NO","O","Wrist","",""
"24667-24247","PG","Fred","Fred VanVleet","VanVleet","19.119444105360245","72","4900","BOS@TOR","TOR","BOS","","","",""
"24667-18376","SG","Damion","Damion Lee","Lee","22.863636363636363","11","4900","MIA@ATL","ATL","MIA","","","",""
"24667-58350","SF","Stanley","Stanley Johnson","Johnson","18.798437118530273","64","4900","PHI@DET","DET","PHI","","","",""
"24667-15405","PF","JaMychal","JaMychal Green","Green","24.35090997869318","55","4800","MEM@NO","MEM","NO","O","Knee","",""
"24667-9939","PG","Patty","Patty Mills","Mills","17.59102532802484","78","4700","SA@LAL","SA","LAL","","","",""
"24667-58084","SF","Justise","Justise Winslow","Winslow","19.982812881469727","64","4700","MIA@ATL","MIA","ATL","","","",""
"24667-9570","C","Pau","Pau Gasol","Gasol","27.136986301369863","73","4600","SA@LAL","SA","LAL","","","",""
"24667-60021","PF","Pascal","Pascal Siakam","Siakam","18.68289505807977","76","4600","BOS@TOR","TOR","BOS","","","",""
"24667-23716","SF","Kyle","Kyle Anderson","Anderson","24.234286063058036","70","4600","SA@LAL","SA","LAL","","","",""
"24667-18600","PG","Tyler","Tyler Johnson","Johnson","22.051470588235293","68","4600","MIA@ATL","MIA","ATL","","","",""
"24667-64017","C","Salah","Salah Mejri","Mejri","13.178333536783855","60","4500","DAL@ORL","DAL","ORL","GTD","Knee","",""
"24667-9758","SG","Danny","Danny Green","Green","20.80605986624053","66","4500","SA@LAL","SA","LAL","","","",""
"24667-60233","SF","Dillon","Dillon Brooks","Brooks","17.974358974358974","78","4500","MEM@NO","MEM","NO","","","",""
"24667-15947","SF","Reggie","Reggie Bullock","Bullock","18.67540903560451","61","4500","PHI@DET","DET","PHI","","","",""
"24667-9577","SF","Rudy","Rudy Gay","Gay","22.383019789209907","53","4500","SA@LAL","SA","LAL","","","",""
"24667-40562","SG","Josh","Josh Hart","Hart","15.468965727707435","58","4500","SA@LAL","LAL","SA","","","",""
"24667-80811","PF","Jonathan","Jonathan Isaac","Isaac","16.65925880714699","27","4500","DAL@ORL","ORL","DAL","O","Ankle","",""
"24667-14533","PG","Shelvin","Shelvin Mack","Mack","17.010936737060547","64","4500","DAL@ORL","ORL","DAL","","","",""
"24667-14554","SF","E'Twaun","E'Twaun Moore","Moore","21.071428571428573","77","4500","MEM@NO","NO","MEM","","","",""
"24667-9715","SG","Marco","Marco Belinelli","Belinelli","18.227999674479168","75","4500","PHI@DET","PHI","DET","","","",""
"24667-16405","SG","Terrence","Terrence Ross","Ross","19.113636363636363","22","4400","DAL@ORL","ORL","DAL","O","Lower leg","",""
"24667-9500","PF","Dirk","Dirk Nowitzki","Nowitzki","23.96883085176542","77","4400","DAL@ORL","DAL","ORL","O","Ankle","",""
"24667-12511","PG","Ish","Ish Smith","Smith","22.254545137479706","77","4400","PHI@DET","DET","PHI","","","",""
